lat,lon,deveui,ts
-24.20288,27.9012,00-59-AC-00-00-15-0A-13,1.49358E+12
-24.20288,27.90128,00-59-AC-00-00-15-0A-21,1.49365E+12
-24.20272,27.9012,00-59-AC-00-00-15-0A-12,1.49373E+12
-24.20304,27.90128,00-59-AC-00-00-15-0A-15,1.49363E+12
-24.2028,27.9012,00-59-AC-00-00-15-0A-08,1.49371E+12
-24.20288,27.9012,00-59-AC-00-00-15-0A-21,1.49369E+12
-24.20256,27.90176,00-59-AC-00-00-15-0A-07,1.4936E+12
-24.20352,27.90136,00-59-AC-00-00-15-0A-15,1.49367E+12
-24.20224,27.90144,00-59-AC-00-00-15-0A-07,1.49363E+12
-24.2028,27.90128,00-59-AC-00-00-15-0A-17,1.49364E+12
-24.20256,27.90128,00-59-AC-00-00-15-0A-09,1.49359E+12
-24.2028,27.90112,00-59-AC-00-00-15-0A-12,1.49369E+12
